year,benign_total,malware_total,total_samples,val_samples,train_chunks,epochs,best_val_accuracy,best_val_loss,final_train_loss,final_val_loss,final_val_accuracy,learning_rate,continued_from_checkpoint
2020,500,500,1000,100,30,10,0.91,0.20239875465631485,0.0651398878544569,0.23203878104686737,0.9,0.001,False
2021,500,500,1000,100,30,10,0.97,0.13334756344556808,0.09482318304833913,0.1305040866136551,0.97,0.0003,True
2022,500,310,810,81,20,10,0.9382716049382716,0.12673120200634003,0.04986667881409327,0.1298845261335373,0.9382716049382716,0.0003,True
2023,350,168,518,51,20,10,0.9803921568627451,0.10949325561523438,0.10176177519107503,0.08307826519012451,0.9607843137254902,0.0003,True
